1,0.00
2,0.00
3,0.00
4,1.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,8.00
37,6.12
38,0.00
39,0.00
40,0.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,0.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,6.52
56,0.00
57,0.00
58,1.09
59,0.00
60,0.00
61,2.13
62,27.55
63,44.00
64,0.00
65,0.00
66,0.00
67,1.03
68,24.74
69,1.01
70,0.00
71,0.00
72,0.00
73,1.04
74,0.00
75,2.08
76,0.00
77,0.00
78,0.00
79,0.00
80,25.00
81,0.00
82,0.00
83,5.38
84,48.98
85,19.19
86,1.05
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,9.47
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,0.00
102,0.00
103,0.00
104,0.00
105,0.00
106,1.05
107,0.00
108,0.00
109,0.00
110,0.00
111,0.00
112,1.08
113,0.00
114,0.00
115,0.00
116,0.00
117,0.00
118,0.00
119,1.08
120,2.06
121,1.10
122,0.00
123,0.00
124,0.00
125,0.00
126,0.00
127,0.00
128,0.00
129,0.00
130,0.00
131,0.00
132,1.05
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,1.03
139,0.00
140,0.00
141,0.00
142,0.00
143,0.00
144,0.00
145,0.00
146,0.00
147,0.00
148,0.00
149,1.05
150,1.10
151,10.20
152,1.02
153,0.00
154,0.00
155,0.00
156,0.00
157,0.00
158,7.45
159,0.00
160,0.00
161,3.61
162,89.00
163,0.00
164,2.35
165,0.00
166,0.00
167,1.08
168,1.25
169,0.00
170,0.00
171,0.00
172,0.00
173,0.00
174,0.00
175,0.00
176,2.35
177,0.00
178,0.00
179,0.00
